--- Scale
#newitem
#id "bronze scale cuirass"
#dominionsId 142
#sprite /graphics/cyclops/elder/armor/scale_cuirass_elite_bronze.png
#armor
#theme bronze
#eliteversion "gold scale cuirass"
#enditem

#newitem
#id "bronze scale hauberk"
#dominionsId 136
#sprite /graphics/cyclops/elder/armor/scale_hauberk_elite_bronze.png
#armor
#theme bronze
#eliteversion "gold scale hauberk"
#enditem

#newitem
#id "iron scale cuirass"
#dominionsId 7
#sprite /graphics/cyclops/elder/armor/scale_cuirass_elite_iron.png
#armor
#theme iron
#eliteversion "silver scale cuirass"
#enditem

#newitem
#id "iron scale hauberk"
#dominionsId 12
#sprite /graphics/cyclops/elder/armor/scale_hauberk_elite_iron.png
#armor
#theme iron
#eliteversion "silver scale hauberk"
#enditem

#newitem
#id "gold scale cuirass"
#dominionsId 49
#sprite /graphics/cyclops/elder/armor/scale_cuirass_elite_gold.png
#armor
#theme elite
#theme bronze
#theme gold
#themeinc theme silver *0.01
#enditem

#newitem
#id "gold scale hauberk"
#dominionsId 196
#sprite /graphics/cyclops/elder/armor/scale_hauberk_elite_gold.png
#armor
#theme elite
#theme bronze
#theme gold
#themeinc theme silver *0.01
#enditem

#newitem
#id "silver scale cuirass"
#dominionsId 49
#sprite /graphics/cyclops/elder/armor/scale_cuirass_elite_silver.png
#armor
#theme elite
#theme iron
#theme silver
#themeinc theme gold *0.01
#enditem

#newitem
#id "silver scale hauberk"
#gameid enchantedscalemail
#sprite /graphics/cyclops/elder/armor/scale_hauberk_silver.png
#armor
#theme elite
#theme iron
#theme silver
#themeinc theme gold *0.01
#enditem

-- Plate
#newitem
#id "bronze cuirass"
#dominionsId 100
#sprite /graphics/cyclops/elder/armor/plate_cuirass_bronze.png
#armor
#theme bronze
#eliteversion "gold cuirass"
#enditem

#newitem
#id "bronze hauberk"
#dominionsId 101
#sprite /graphics/cyclops/elder/armor/plate_hauberk_bronze.png
#armor
#theme bronze
#eliteversion "gold hauberk"
#enditem

#newitem
#id "iron cuirass"
#dominionsId 7
#sprite /graphics/cyclops/elder/armor/plate_cuirass_iron.png
#armor
#theme iron
#eliteversion "silver cuirass"
#enditem

#newitem
#id "iron hauberk"
#dominionsId 12
#sprite /graphics/cyclops/elder/armor/plate_hauberk_iron.png
#armor
#theme iron
#eliteversion "silver hauberk"
#enditem

#newitem
#id "silver cuirass"
#dominionsId 245
#sprite /graphics/cyclops/elder/armor/plate_cuirass_silver.png
#armor
#theme iron
#theme elite
#theme silver
#themeinc theme gold *0.01
#enditem

#newitem
#id "silver hauberk"
#dominionsId 246
#sprite /graphics/cyclops/elder/armor/plate_hauberk_silver.png
#armor
#theme iron
#theme elite
#theme silver
#themeinc theme gold *0.01
#enditem

#newitem
#id "gold cuirass"
#dominionsId 236
#sprite /graphics/cyclops/elder/armor/plate_cuirass_gold.png
#armor
#theme bronze
#theme elite
#theme gold
#themeinc theme silver *0.01
#enditem

#newitem
#id "gold hauberk"
#dominionsId 237
#sprite /graphics/cyclops/elder/armor/plate_hauberk_gold.png
#armor
#theme bronze
#theme elite
#theme gold
#themeinc theme silver *0.01
#enditem
