-- Tentacles

#newitem
#id tentacle
#dominionsId 85
#type "tentacle"
#degenerate
#command "#gcost +3"
#enditem

#newitem
#id tentacle
#dominionsId 85
#type "tentacle"
#command "#gcost +3"
#enditem

#newitem
#id strangle
#dominionsId 116
#type "tentacle"
#command "#gcost +3"
#itemslot hand +1
#enditem

#newitem
#id tentacle_sleep
#dominionsId 387
#type "tentacle"
#command "#gcost +5"
#itemslot hand +1
#enditem

#newitem
#id tentacle_disease
#dominionsId 142
#type "tentacle"
#command "#gcost +5"
#enditem

#newitem
#id tentacle_weakness
#dominionsId 550
#type "tentacle"
#command "#gcost +5"
#enditem
