#newitem
#id none
#basechance 8
#gameid -1
#armor
#theme "primitive"
#theme "naked"
#needstype head barehead
#degenerate
#enditem

-- Minotaur helms
#newitem
#basechance 0.1
#id barehead_mino
#gameid -1
#armor
#theme "primitive"
#theme "naked"
#needstype head minotaur
#degenerate
#enditem

#newitem
#basechance 0.2
#id leathercap
#dominionsId 120
#sprite /graphics/halfmen/minotaur/helmet/cap_leather.png
#offsetx -5
#offsety 5
#theme "leather"
#maxprot 14
#armor
#needstype head minotaur
#enditem

#newitem
#basechance 0.2
#id reinforcedcap
#dominionsId 119
#sprite /graphics/halfmen/minotaur/helmet/cap_reinforced.png
#offsetx -5
#offsety 5
#theme "leather"
#maxprot 14
#armor
#needstype head minotaur
#enditem

#newitem
#basechance 0.2
#id ironcap
#dominionsId 20
#sprite /graphics/halfmen/minotaur/helmet/cap_iron.png
#offsetx -5
#offsety 5
#theme "iron"
#armor
#needstype head minotaur
#enditem

#newitem
#basechance 0.2
#id ironhelm
#dominionsId 118
#sprite /graphics/halfmen/minotaur/helmet/halfhelm_iron.png
#offsetx -5
#offsety 5
#theme "iron"
#armor
#minprot 12
#needstype head minotaur
#enditem

-- Horse helms
#newitem
#basechance 0.25
#id barehead_horse
#gameid -1
#armor
#theme "primitive"
#theme "naked"
#needstype head horse
#degenerate
#enditem

#newitem
#basechance 0.1
#id ironcap
#dominionsId 20
#sprite /graphics/foulspawn/medium/helmet/horse_iron.png
#theme "iron"
#armor
#needstype head horse
#enditem

#newitem
#basechance 0.1
#id ironhelm
#dominionsId 118
#sprite /graphics/foulspawn/medium/helmet/horse_iron.png
#theme "iron"
#armor
#minprot 12
#needstype head horse
#enditem

#newitem
#basechance 0.05
#id ironhelm_full
#dominionsId 21
#sprite /graphics/foulspawn/medium/helmet/horse_iron_full.png
#recolormask /graphics/foulspawn/medium/helmet/horse_full_recolormask.png
#theme "iron"
#armor
#minprot 16
#needstype head horse
#enditem


-- Bandar helms
#newitem
#basechance 0.2
#id barehead_bandar
#gameid -1
#armor
#theme "primitive"
#theme "naked"
#needstype head bandar
#degenerate
#enditem

#newitem
#basechance 0.2
#id leathercap
#dominionsId 119
#sprite /graphics/monkey/helmet/bandar/leathercap.png
#offsetx 1
#offsety -7
#armor
#theme "leather"
#maxprot 10
#needstype head bandar
#enditem

#newitem
#basechance 0.2
#id ironcap
#dominionsId 20
#sprite /graphics/monkey/helmet/bandar/ironcap.png
#offsetx 1
#offsety -7
#armor
#theme "iron"
#needstype head bandar
#enditem

#newitem
#basechance 0.2
#id halfhelmet
#dominionsId 118
#sprite /graphics/monkey/helmet/bandar/halfhelmet.png
#offsetx 1
#offsety -7
#armor
#theme "iron"
#needstype head bandar
#enditem

#newitem
#basechance 0.2
#id fullhelmet
#dominionsId 21
#sprite /graphics/monkey/helmet/bandar/fullhelm.png
#offsetx 1
#offsety -7
#armor
#theme "iron"
#minprot 13
#needstype head bandar
#enditem

#newitem
#basechance 0.1
#id jingasa
#dominionsId 131
#sprite /graphics/monkey/helmet/bandar/jingasa.png
#recolormask /graphics/monkey/helmet/bandar/jingasa_recolormask.png
#offsetx 1
#offsety -7
#armor
#theme "oriental"
#theme "iron"
#minprot 6
#maxprot 12
#needstype head bandar
#enditem

#newitem
#basechance 0.1
#id kabuto
#dominionsId 132
#sprite /graphics/monkey/helmet/bandar/kabuto.png
#offsetx 1
#offsety -7
#armor
#theme "oriental"
#theme "iron"
#minprot 12
#needstype head bandar
#enditem


-- Atlantian helmets
#newitem
#basechance 0.125
#id barehead_atlantian
#gameid -1
#armor
#theme "primitive"
#theme "naked"
#needstype head shambler
#degenerate
#enditem

#newitem
#basechance 0.25
#id "ironcap"
#dominionsId 20
