--- Weapons

#newitem
#id offhandaxe
#dominionsId 17
#sprite /graphics/avvim/offhand/axe.png
#offsetx 10
#offsety -6
#theme "iron"
#enditem

#newitem
#id offhandmace
#dominionsId 12
#sprite /graphics/avvim/offhand/mace.png
#offsetx 10
#offsety -6
#theme "primitive"
#enditem

#newitem
#id offhandmorningstar
#dominionsId 15
#sprite /graphics/avvim/offhand/morningstar.png
#offsetx 10
#offsety -6
#theme "advanced"
#theme "iron"
#enditem

#newitem
#id offhandshortsword
#dominionsId 6
#sprite /graphics/avvim/offhand/shortsword.png
#offsetx 10
#offsety -6
#theme "advanced"
#theme "iron"
#enditem

#newitem
#id offhandbroadsword
#dominionsId 8
#sprite /graphics/avvim/offhand/broadsword.png
#offsetx 10
#offsety -6
#theme "advanced"
#theme "iron"
#enditem

#newitem
#id offhandfalchion
#dominionsId 10
#sprite /graphics/avvim/offhand/falchion.png
#offsetx 10
#offsety -6
#theme "advanced"
#theme "iron"
#enditem

#newitem
#id offhandaxe_bronze
#dominionsId 675
#sprite /graphics/highmen/weapons/offhand_axe_bronze.png
#offsetx 4
#offsety -10
#chanceinc unittag irregular 8
#theme "bronze"
#enditem

#newitem
#id offhandmorningstar_bronze
#gameid bronzemorningstar
#sprite /graphics/highmen/weapons/offhand_morningstar_bronze.png
#offsetx 5
#offsety -10
#theme "advanced"
#theme "bronze"
#enditem

#newitem
#id offhandsword_bronze
#dominionsId 645
#sprite /graphics/highmen/weapons/offhand_shortsword_bronze.png
#offsetx 5
#offsety -10
#theme "bronze"
#enditem

#newitem
#id offhandbroadsword_bronze
#gameid bronzebroadsword
#sprite /graphics/highmen/weapons/offhand_broadsword_bronze.png
#offsetx 5
#offsety -10
#theme "advanced"
#theme "bronze"
#enditem


