#newitem
#id "giants_cudgel"
#gameid giants_iron_cudgel
#needs specialweapon no_special
#sprite /graphics/tengu/weapons/oversized/ironcudgel.png
#ignore_dw_restrictions
#itemslot hand +1
#enditem

#newitem
#id wakizasi
#gameid 377
#needs specialweapon no_special
#sprite /graphics/tengu/weapons/oversized/wakizasi.png
#itemslot hand +1
#enditem

#newitem
#id "giants_katana"
#gameid giants_katana
#needs specialweapon no_special
#sprite /graphics/tengu/weapons/oversized/katana.png
#ignore_dw_restrictions
#itemslot hand +1
#enditem

#newitem
#id "giants_nodachi"
#gameid giants_nodachi
#needs specialweapon no_special
#sprite /graphics/tengu/weapons/oversized/nodachi.png
#ignore_dw_restrictions
#itemslot hand +1
#enditem

--- Polearms

#newitem
#id spear
#type polearm
#gameid 28
#sprite /graphics/tengu/weapons/oversized/spear.png
#needs offhand nooffhand
#itemslot hand +2
#enditem

#newitem
#id yari
#type polearm
#gameid 376
#sprite /graphics/tengu/weapons/oversized/yari.png
#needs offhand nooffhand
#itemslot hand +2
#enditem

#newitem
#id naginata
#type polearm
#gameid 380
#sprite /graphics/tengu/weapons/oversized/naginata.png
#needs offhand nooffhand
#itemslot hand +2
#enditem
