--- Weapons

#newitem
#id offhandaxe
#dominionsId 17
#sprite /graphics/offhand/standard/axe.png
#theme "iron"
#theme "primitive"
#theme "austral"
#theme "boreal"
#theme "central"
#theme "occidental"
#enditem

#newitem
#id offhandbroadsword
#dominionsId 8
#sprite /graphics/offhand/standard/broadsword.png
#theme "iron"
#theme "austral"
#theme "boreal"
#enditem

#newitem
#id offhandhammer
#dominionsId 13
#sprite /graphics/offhand/standard/hammer.png
#theme "iron"
#theme "austral"
#theme "boreal"
#theme "central"
#enditem

#newitem
#id offhandmace
#dominionsId 12
#sprite /graphics/offhand/standard/mace.png
#theme "iron"
#theme "primitive"
#theme "austral"
#theme "boreal"
#theme "central"
#theme "occidental"
#enditem

#newitem
#id offhandmorningstar
#dominionsId 15
#sprite /graphics/offhand/standard/morningstar.png
#theme "iron"
#theme "austral"
#theme "boreal"
#theme "central"
#enditem

#newitem
#id offhandshortsword
#dominionsId 6
#sprite /graphics/offhand/standard/shortsword.png
#theme "iron"
#theme "austral"
#theme "boreal"
#theme "central"
#enditem


#newitem
#id offhandfalchion
#dominionsId 10
#sprite /graphics/offhand/standard/falchion.png
#theme "iron"
#theme "austral"
#theme "boreal"
#enditem

#newitem
#id offhandkopesh
#gameid ironkopesh
#sprite /graphics/offhand/standard/kopesh_iron.png
#theme "austral"
#theme "central"
#theme "iron"
#enditem

#newitem
#id offhanddagger
#dominionsId 9
#sprite /graphics/offhand/standard/dagger.png
#theme "iron"
#theme "austral"
#theme "boreal"
#theme "central"
#theme "occidental"
#enditem


