
--- Robes



#newitem
#id chainhauberk
#dominionsId 13
#sprite /graphics/vanir/armor/chainhauberk.png
#armor
#tag "tier 2"
#eliteversion goldencuirass
#enditem

#newitem
#id coloredhauberk
#dominionsId 10
#sprite /graphics/vanir/armor/special/coloredhauberk.png
#recolormask self
#armor
#tag "tier 2"
#eliteversion goldenhauberk
#enditem


#newitem
#id goldencuirass
#dominionsId 8
#sprite /graphics/vanir/armor/special/goldencuirass.png
#armor
#tag "tier 2"
#tag "tier 3"
#enditem

#newitem
#id goldenhauberk
#dominionsId 13
#sprite /graphics/vanir/armor/special/goldenhauberk.png
#armor
#tag "tier 3"
#enditem
