--- Weapons

#newitem
#id offhandaxe
#dominionsId 17
#sprite /graphics/offhand/standard/axe.png
#tag "name berserker"
#theme "primitive"
#enditem

#newitem
#id offhandbroadsword
#dominionsId 8
#sprite /graphics/offhand/standard/broadsword.png
#enditem

#newitem
#id offhandhammer
#dominionsId 13
#sprite /graphics/offhand/standard/hammer.png
#enditem

#newitem
#id offhandmace
#dominionsId 12
#sprite /graphics/offhand/standard/mace.png
#tag "name berserker"
#theme "primitive"
#enditem


#newitem
#id offhandshortsword
#dominionsId 6
#sprite /graphics/offhand/standard/shortsword.png
#enditem



#newitem
#id offhanddagger
#dominionsId 9
#sprite /graphics/offhand/standard/dagger.png
#enditem


