--- Weapons

#newitem
#id offhandaxe
#dominionsId 675
#sprite /graphics/weapon/bronze/hatchet_oh.png
#tag "name berserker"
#theme "primitive"
#enditem

#newitem
#id offhandbroadsword
#gameid bronzebroadsword
#sprite /graphics/weapon/bronze/broadsword_oh.png
#enditem

#newitem
#id offhandhammer
#gameid bronzehammer
#sprite /graphics/weapon/bronze/hammer_oh.png
#enditem

#newitem
#id offhandmace
#dominionsId 12
#sprite /graphics/offhand/standard/mace.png
#tag "name berserker"
#theme "primitive"
#enditem


#newitem
#id offhandshortsword
#dominionsId 645
#sprite /graphics/weapon/bronze/shortsword_oh.png
#enditem


#newitem
#id offhanddagger
#dominionsId 674
#sprite /graphics/weapon/bronze/dagger_oh.png
#enditem


